variable,coef_ridge,coef_abs
num__nb_agents,0.3576252277077274,0.3576252277077274
"cat__cause_intervention_Clés, Carburant, Crevaison",-0.3495288103231265,0.3495288103231265
num__nb_garanties_dossier,0.29148561177250065,0.29148561177250065
cat__cause_intervention_Panne mécanique,-0.2745781618065052,0.2745781618065052
cat__cause_intervention_Incendie,0.25866018633229754,0.25866018633229754
cat__cause_intervention_Bris de glace,0.20946043835273506,0.20946043835273506
num__nb_interventions,0.20101476663490475,0.20101476663490475
num__info_dossier_manquante,-0.2003152572786748,0.2003152572786748
cat__formule_regroupee_F17,-0.19797750354309906,0.19797750354309906
cat__cause_intervention_Vol / Vandalisme,0.1485061985913898,0.1485061985913898
cat__site_dominant_Inconnu,-0.13669351817981562,0.13669351817981562
cat__formule_regroupee_F25,0.12556967484863626,0.12556967484863626
cat__formule_regroupee_F0,-0.1102717403892034,0.1102717403892034
cat__type_d_energie_Autre,0.08641285370691841,0.08641285370691841
cat__cause_intervention_Accident,0.08579269452387249,0.08579269452387249
cat__formule_regroupee_F18,0.08205858992260992,0.08205858992260992
cat__formule_regroupee_F34,0.07976290082722509,0.07976290082722509
cat__formule_regroupee_F5,-0.07873709288075066,0.07873709288075066
cat__outil_d_assistance_MCS,0.07429495607105263,0.07429495607105263
cat__formule_regroupee_F23,0.06996322730890965,0.06996322730890965
cat__lieu_travail_dominant_TELE,-0.06930175141245222,0.06930175141245222
cat__site_dominant_B,0.06929516301228507,0.06929516301228507
cat__site_dominant_A,0.06739835516755044,0.06739835516755044
cat__type_d_energie_Hybride,-0.06307576860949252,0.06307576860949252
cat__cause_intervention_Inconnu,-0.05804947316793897,0.05804947316793897
cat__type_d_energie_Inconnu,-0.05804947316793897,0.05804947316793897
cat__formule_regroupee_Inconnu,-0.05804947316793897,0.05804947316793897
cat__outil_d_assistance_Inconnu,-0.05804947316793897,0.05804947316793897
cat__type_d_energie_Electricité,0.052436004417000144,0.052436004417000144
cat__type_d_energie_Essence,-0.0501560752190959,0.0501560752190959
cat__lieu_travail_dominant_Inconnu,0.05008553823983404,0.05008553823983404
cat__formule_regroupee_F4,-0.046236471159631955,0.046236471159631955
num__temps_travail_moyen,-0.042323757661410166,0.042323757661410166
cat__formule_regroupee_F8,0.03627192899045822,0.03627192899045822
cat__formule_regroupee_Autres_formules,0.03606152411693181,0.03606152411693181
cat__formule_regroupee_F12,0.035076092980190786,0.035076092980190786
cat__formule_regroupee_F6,-0.03253242362571947,0.03253242362571947
num__delai_premier_traitement,-0.03012217299723727,0.03012217299723727
cat__formule_regroupee_F32,0.029117174952763707,0.029117174952763707
cat__type_d_energie_GPL,0.02861804098015964,0.02861804098015964
cat__formule_regroupee_F1,0.026818120472150077,0.026818120472150077
cat__formule_regroupee_F3,-0.023646804871317397,0.023646804871317397
cat__formule_regroupee_F10,0.021407504393296722,0.021407504393296722
cat__cause_intervention_Autres,-0.020263072502702942,0.020263072502702942
cat__lieu_travail_dominant_SITE,0.019216213172590476,0.019216213172590476
cat__outil_d_assistance_Higgins,-0.01624548290308138,0.01624548290308138
cat__formule_regroupee_F7,0.014518812306176281,0.014518812306176281
num__mois_premier_traitement,0.013274397142015979,0.013274397142015979
num__experience_moyenne,-0.009187170290622708,0.009187170290622708
cat__formule_regroupee_F27,-0.009174041481686025,0.009174041481686025
cat__type_d_energie_Diesel,0.0038144178925542394,0.0038144178925542394
num__part_teletravail,-0.001953473033122082,0.001953473033122082
num__info_ressource_manquante,0.0012827591597666175,0.0012827591597666175
